rel_typ_idx,metadata_idx,similarity_score,rel_typ_text,metadata_text,match_method,match_score,fuzzy_score
49,10008,1.0000000000000002,🚨🚨🚨 alert: the cdc has just sent out an emergency warning: a new virus “oropouche” is now spreading ...,🚨🚨🚨 alert: the cdc has just sent out an emergency warning: a new virus “oropouche” is now spreading ...,similarity_full_text,1.0000000000000002,
50,14021,1.0,thermite device spewing molten iron from the south tower shortly before it was demolished on 9/11 🤔...,thermite device spewing molten iron from the south tower shortly before it was demolished on 9/11 🤔...,similarity_full_text,1.0,
51,10034,1.0,"camping world defies county orders to remove their massive american flag, flying it high in a stand ...","camping world defies county orders to remove their massive american flag, flying it high in a stand ...",similarity_full_text,1.0,
53,5849,1.0,"shake shack is giving out free chicken sandwiches, cheese fries, &amp; shakes 👀...","shake shack is giving out free chicken sandwiches, cheese fries, &amp; shakes 👀...",similarity_full_text,1.0,
54,14533,1.0,oh my god drake actually dropped the album...,oh my god drake actually dropped the album...,similarity_full_text,1.0,
55,1393,1.0,national: abc's the view has reached a settlement agreement with kyle rittenhouse and his mother wen...,national: abc's the view has reached a settlement agreement with kyle rittenhouse and his mother wen...,similarity_full_text,1.0,
56,7713,1.0,boeing again. one person is dead and others are injured after a singapore airlines flight from londo...,boeing again. one person is dead and others are injured after a singapore airlines flight from londo...,similarity_full_text,1.0,
57,8225,1.0000000000000002,the maine shooter was an arabic obama supporter. and 3... 2... 1... there disappears the msm coverag...,the maine shooter was an arabic obama supporter. and 3... 2... 1... there disappears the msm coverag...,similarity_full_text,1.0000000000000002,
58,4660,1.0,"instead of renting the bibby stockholm for 2 years the u.k. could have built 20,000 houses to house ...","instead of renting the bibby stockholm for 2 years the u.k. could have built 20,000 houses to house ...",similarity_full_text,1.0,
59,4860,1.0000000000000002,⚠️⚠️⚠️ warning: the entire us government is shutting down in less than 72 hours !!! turn notificatio...,⚠️⚠️⚠️ warning: the entire us government is shutting down in less than 72 hours !!! turn notificatio...,similarity_full_text,1.0000000000000002,
60,907,1.0,ik vind het onverantwoord om op een filmset rond te lopen zonder helm! waar is de arbeidsinspectie a...,ik vind het onverantwoord om op een filmset rond te lopen zonder helm! waar is de arbeidsinspectie a...,similarity_full_text,1.0,
61,58,1.0000000000000004,"flo jo, obvious drug user, had the nails. she died in her sleep at age 38 because that’s what a life...","flo jo, obvious drug user, had the nails. she died in her sleep at age 38 because that’s what a life...",similarity_full_text,1.0000000000000004,
62,11409,1.0,new york bill would force some chick-fil-a locations to open on sundays...,new york bill would force some chick-fil-a locations to open on sundays...,similarity_full_text,1.0,
63,15524,1.0000000000000002,banksy knows what the world thinks of trump....,banksy knows what the world thinks of trump....,similarity_full_text,1.0000000000000002,
64,10391,1.0,community notes being manipulated by zionists this is an example of the type of community notes that...,community notes being manipulated by zionists this is an example of the type of community notes that...,similarity_full_text,1.0,
65,15933,1.0,"average energy prices £2,585 - uk €650 - france €650 - belgium €620 - spain €558 - germany €558 - de...","average energy prices £2,585 - uk €650 - france €650 - belgium €620 - spain €558 - germany €558 - de...",similarity_full_text,1.0,
66,14130,1.0000000000000002,"not all snakes are poisonous, don’t run when you see one always check first...","not all snakes are poisonous, don’t run when you see one always check first...",similarity_full_text,1.0000000000000002,
67,6100,1.0000000000000002,press statement : clarification on alleged abductions by national police service...,press statement : clarification on alleged abductions by national police service...,similarity_full_text,1.0000000000000002,
68,6706,1.0,"lady gaga is being investigated for fraud on streaming platforms to promote her new single ""die with...","lady gaga is being investigated for fraud on streaming platforms to promote her new single ""die with...",similarity_full_text,1.0,
69,10010,1.0,"robin williams accepted $75,000, rather than his typical fee of about $8 million, for his role as th...","robin williams accepted $75,000, rather than his typical fee of about $8 million, for his role as th...",similarity_full_text,1.0,
70,5205,1.0,chris evans behind the scenes as captain america vs the end result...,chris evans behind the scenes as captain america vs the end result...,similarity_full_text,1.0,
71,8365,1.0,🚨 starbucks are now begging for customers!...,🚨 starbucks are now begging for customers!...,similarity_full_text,1.0,
72,196,1.0000000000000002,"how hot is in texas?? 🥵🔥 this woman baked bread in her mailbox!! roberta wright, who lives in a subu...","how hot is in texas?? 🥵🔥 this woman baked bread in her mailbox!! roberta wright, who lives in a subu...",similarity_full_text,1.0000000000000002,
73,5082,1.0000000000000002,": the commander of the mercenary group “les commandos,” who fought in for a monthly salary of €15,00...",": the commander of the mercenary group “les commandos,” who fought in for a monthly salary of €15,00...",similarity_full_text,1.0000000000000002,
74,16118,1.0000000000000004,"elon musk is going to launch a satellite that displays ads in space, reports . he is one of several ...","elon musk is going to launch a satellite that displays ads in space, reports . he is one of several ...",similarity_full_text,1.0000000000000004,
75,7730,1.0000000000000002,coming out of barak obama's own mouth stating he's not an american citizen admits he was born in ken...,coming out of barak obama's own mouth stating he's not an american citizen admits he was born in ken...,similarity_full_text,1.0000000000000002,
76,9680,1.0000000000000002,reminder: the alfred p. murrah federal building in oklahoma city was blown up and destroyed just 4 d...,reminder: the alfred p. murrah federal building in oklahoma city was blown up and destroyed just 4 d...,similarity_full_text,1.0000000000000002,
77,8886,1.0000000000000002,trump is now a certified sex offender. he should be forced to register wherever he goes....,trump is now a certified sex offender. he should be forced to register wherever he goes....,similarity_full_text,1.0000000000000002,
78,6286,1.0000000000000002,nasa terrified of space station careening out of control and crashing into people...,nasa terrified of space station careening out of control and crashing into people...,similarity_full_text,1.0000000000000002,
79,2009,1.0,wait what?! 😮...,wait what?! 😮...,similarity_full_text,1.0,
80,15075,1.0000000000000002,pay close attention to the rear wheel of the cybertruck. now watch the rear wheels of the other vehi...,pay close attention to the rear wheel of the cybertruck. now watch the rear wheels of the other vehi...,similarity_full_text,1.0000000000000002,
81,16387,1.0,lgbt doesnt exist in pokemon dummie...,lgbt doesnt exist in pokemon dummie...,similarity_full_text,1.0,
82,10721,1.0000000000000002,breaking: australian gp sues pfizer and moderna over unapproved gmos in mrna covid vaccines dr julia...,breaking: australian gp sues pfizer and moderna over unapproved gmos in mrna covid vaccines dr julia...,similarity_full_text,1.0000000000000002,
83,14496,1.0000000000000002,"this went under the radar on sunday, but jamie donkey made his first match day squad. this is him in...","this went under the radar on sunday, but jamie donkey made his first match day squad. this is him in...",similarity_full_text,1.0000000000000002,
84,8156,1.0,let’s not forget the laughing hyena said this....,let’s not forget the laughing hyena said this....,similarity_full_text,1.0,
85,736,1.0,let this sink in....,let this sink in....,similarity_full_text,1.0,
86,15238,1.0000000000000002,quite the track record ....,quite the track record ....,similarity_full_text,1.0000000000000002,
87,6717,1.0,an individual who had been loading illicit streaming services on to so-called “firesticks” has today...,an individual who had been loading illicit streaming services on to so-called “firesticks” has today...,similarity_full_text,1.0,
88,10683,1.0,one of the reasons tylenol is linked to autism is because tylenol reduces glutathione production. gl...,one of the reasons tylenol is linked to autism is because tylenol reduces glutathione production. gl...,similarity_full_text,1.0,
89,6076,1.0,just want to clear a few things up about this video of me first off all yes this is me and i was on ...,just want to clear a few things up about this video of me first off all yes this is me and i was on ...,similarity_full_text,1.0,
91,8145,1.0,"pallywood productions, hospital 🏥 edition 🤦🏻. please call 📞 us for co-operation showing jews ✡️ as b...","pallywood productions, hospital 🏥 edition 🤦🏻. please call 📞 us for co-operation showing jews ✡️ as b...",similarity_full_text,1.0,
93,14163,1.0000000000000004,"mike tyson, filistin bayrağıyla poz verdi 🇵🇸 here's the big man ❤ 👊...","mike tyson, filistin bayrağıyla poz verdi 🇵🇸 here's the big man ❤ 👊...",similarity_full_text,1.0000000000000004,
94,5932,1.0,great discussion earlier this week with about u.s. partnerships with the people of rift valley. kong...,great discussion earlier this week with about u.s. partnerships with the people of rift valley. kong...,similarity_full_text,1.0,
95,5478,1.0,gordon ramsay about the recent anti mass immigration protests in ireland...,gordon ramsay about the recent anti mass immigration protests in ireland...,similarity_full_text,1.0,
96,1464,1.0000000000000004,it's insane that 3.3% of canadians killed themselves last year using medically assisted suicides...,it's insane that 3.3% of canadians killed themselves last year using medically assisted suicides...,similarity_full_text,1.0000000000000004,
97,7019,,this is quite possibly the laziest election rigging i’ve ever seen. “what should we put down for the...,this is quite possibly the laziest election rigging i’ve ever seen. “what should we put down for the...,fuzzy_full_text,1.0,100.0
98,11362,1.0,"sources: shohei ohtani is en route to toronto today. a representative of his agency, caa, would not ...","sources: shohei ohtani is en route to toronto today. a representative of his agency, caa, would not ...",similarity_full_text,1.0,
99,6695,1.0000000000000004,"escape the stress💨 💨 💨 play our fun and easy game now. simple, fun, and a great way to kill time🥰...","escape the stress💨 💨 💨 play our fun and easy game now. simple, fun, and a great way to kill time🥰...",similarity_full_text,1.0000000000000004,
100,3184,1.0000000000000002,"i posted a picture yesterday of a real event, that millions of people saw with their own eyes. then ...","i posted a picture yesterday of a real event, that millions of people saw with their own eyes. then ...",similarity_full_text,1.0000000000000002,
101,3362,1.0,"iran did not target any schools, any hospitals, any churches or any synagogues, unlike the israelis,...","iran did not target any schools, any hospitals, any churches or any synagogues, unlike the israelis,...",similarity_full_text,1.0,
102,291,1.0,"🚨 barack obama and michelle obama at the ""taylor swift's the eras tour"" in santa clara....","🚨 barack obama and michelle obama at the ""taylor swift's the eras tour"" in santa clara....",similarity_full_text,1.0,
103,8659,1.0,"reported to be a clip of russian kinzhal missile, traveling at 12,000 kilometers per hour, 10 times ...","reported to be a clip of russian kinzhal missile, traveling at 12,000 kilometers per hour, 10 times ...",similarity_full_text,1.0,
104,8765,1.0,illegal rizz...,illegal rizz...,similarity_full_text,1.0,
105,10285,1.0,just in - hunter biden tax charges dismissed by federal judge in biden's home state delaware...,just in - hunter biden tax charges dismissed by federal judge in biden's home state delaware...,similarity_full_text,1.0,
106,7702,1.0,"emotional moment to see the cell mns, a three times pm was kept in. i was in the same jail but i was...","emotional moment to see the cell mns, a three times pm was kept in. i was in the same jail but i was...",similarity_full_text,1.0,
107,10841,1.0,inventor of mrna testifies 'moderna knows covid vaccines cause turbo cancer':...,inventor of mrna testifies 'moderna knows covid vaccines cause turbo cancer':...,similarity_full_text,1.0,
108,15988,1.0000000000000004,"right outside tihar jail at this moment, history is being created. crores of people are marching sil...","right outside tihar jail at this moment, history is being created. crores of people are marching sil...",similarity_full_text,1.0000000000000004,
109,8949,1.0000000000000004,tell me you've never seen a hammer before without telling me you've never seen a hammer before....,tell me you've never seen a hammer before without telling me you've never seen a hammer before....,similarity_full_text,1.0000000000000004,
110,3271,1.0000000000000002,"yes, i'm running against joe biden for the democratic nomination. joe biden is down 24 points on the...","yes, i'm running against joe biden for the democratic nomination. joe biden is down 24 points on the...",similarity_full_text,1.0000000000000002,
111,4127,1.0000000000000002,there's a manhunt in australia for 3 people who painted over a rainbow crosswalk. what a time to be ...,there's a manhunt in australia for 3 people who painted over a rainbow crosswalk. what a time to be ...,similarity_full_text,1.0000000000000002,
112,6416,1.0000000000000002,i guess is doubling down on saying the quiet part out loud?...,i guess is doubling down on saying the quiet part out loud?...,similarity_full_text,1.0000000000000002,
113,7203,1.0,"because messi is a captain for inter miami, ronaldo also forced al nassr to make him their captain 😭...","because messi is a captain for inter miami, ronaldo also forced al nassr to make him their captain 😭...",similarity_full_text,1.0,
114,3058,,"imagine if you took £300,000 in benefit loans from the government. then went bankrupt owing hmrc £60...","imagine if you took £300,000 in benefit loans from the government. then went bankrupt owing hmrc £60...",fuzzy_full_text,1.0,100.0
115,19,1.0000000000000002,"mel gibson said that kids are raped, tortured, murdered during satanic ritual ceremonies. megan fox ...","mel gibson said that kids are raped, tortured, murdered during satanic ritual ceremonies. megan fox ...",similarity_full_text,1.0000000000000002,
116,47,1.0000000000000002,michelle obama slams trump 🔥...,michelle obama slams trump 🔥...,similarity_full_text,1.0000000000000002,
117,3501,1.0000000000000002,kobe and mj never lost 10 straight to the same team...,kobe and mj never lost 10 straight to the same team...,similarity_full_text,1.0000000000000002,
118,2270,1.0,taylor swift slams trump for saying i hate taylor swift 🔥...,taylor swift slams trump for saying i hate taylor swift 🔥...,similarity_full_text,1.0,
120,13432,1.0000000000000002,why are selling chocolate 'gesture eggs' rather than easter eggs? it's another attack on christianit...,why are selling chocolate 'gesture eggs' rather than easter eggs? it's another attack on christianit...,similarity_full_text,1.0000000000000002,
121,12187,1.0,"hold up, is this true and i have been missing out this whole time!? 😮...","hold up, is this true and i have been missing out this whole time!? 😮...",similarity_full_text,1.0,
122,1414,1.0000000000000004,"i have been vegan for 7 years, but i cannot afford to buy expensive vegan food if my posts are ineli...","i have been vegan for 7 years, but i cannot afford to buy expensive vegan food if my posts are ineli...",similarity_full_text,1.0000000000000004,
123,16521,1.0000000000000002,satellite images showing iranian missiles hitting the nevatim airbase of the israeli air force. iran...,satellite images showing iranian missiles hitting the nevatim airbase of the israeli air force. iran...,similarity_full_text,1.0000000000000002,
124,2882,1.0,"✨ correct your posture and make you more beautiful, regardless of age 😎 get it👉...","✨ correct your posture and make you more beautiful, regardless of age 😎 get it👉...",similarity_full_text,1.0,
125,13352,1.0000000000000002,cdc finally admits that vaccinated are now more susceptible to covid than unvaxxed:...,cdc finally admits that vaccinated are now more susceptible to covid than unvaxxed:...,similarity_full_text,1.0000000000000002,
126,15430,1.0,"squid game actor, oh youngsoo, has been found guilty of sexual assault. he was sentenced to 8 months...","squid game actor, oh youngsoo, has been found guilty of sexual assault. he was sentenced to 8 months...",similarity_full_text,1.0,
127,1247,1.0000000000000002,zoom call from a ceo who cancelled all employee bonuses but took a $6.4 million bonus herself...,zoom call from a ceo who cancelled all employee bonuses but took a $6.4 million bonus herself...,similarity_full_text,1.0000000000000002,
128,8522,1.0,"more than 700,000 people joined the labor force last month, which means a higher share of working-ag...","more than 700,000 people joined the labor force last month, which means a higher share of working-ag...",similarity_full_text,1.0,
129,3299,1.0000000000000002,"i'm sorry, they spent two billion dollars to fly... eight... planes... at the same time? 8? like hon...","i'm sorry, they spent two billion dollars to fly... eight... planes... at the same time? 8? like hon...",similarity_full_text,1.0000000000000002,
130,123,1.0,joe’s confused expression with chants of “f*ck joe biden”....,joe’s confused expression with chants of “f*ck joe biden”....,similarity_full_text,1.0,
131,1769,1.0,[photos] proposed design of jkia should adani takeover...,[photos] proposed design of jkia should adani takeover...,similarity_full_text,1.0,
132,13322,1.0000000000000002,they decided its a disorder for children to have boundaries...,they decided its a disorder for children to have boundaries...,similarity_full_text,1.0000000000000002,
133,14997,1.0,"🔥🚨developing: naomi cambell’s house has been going viral. on november 28, 2017, british actress kadi...","🔥🚨developing: naomi cambell’s house has been going viral. on november 28, 2017, british actress kadi...",similarity_full_text,1.0,
134,9292,1.0,"my ""in minecraft"" excuse might not work...","my ""in minecraft"" excuse might not work...",similarity_full_text,1.0,
135,4556,1.0,"🚗 with this practical car cup holder, i have a lot more fun driving! get yours👉...","🚗 with this practical car cup holder, i have a lot more fun driving! get yours👉...",similarity_full_text,1.0,
136,11523,1.0000000000000002,this is what $397 of groceries looks like in america inflation is out of control...,this is what $397 of groceries looks like in america inflation is out of control...,similarity_full_text,1.0000000000000002,
138,3204,1.0000000000000002,"tesco ceo ken murphy was getting £4,740,000 a year last year, but that wasn't enough so he has more ...","tesco ceo ken murphy was getting £4,740,000 a year last year, but that wasn't enough so he has more ...",similarity_full_text,1.0000000000000002,
139,2085,1.0,"no it is not, we do not tax food, books &amp; medical care, we should not tax a child’s education....","no it is not, we do not tax food, books &amp; medical care, we should not tax a child’s education....",similarity_full_text,1.0,
140,6307,1.0000000000000002,🚨developing: a friend of kyle marisa roth told me that before her untimely “death” she was on the tr...,🚨developing: a friend of kyle marisa roth told me that before her untimely “death” she was on the tr...,similarity_full_text,1.0000000000000002,
141,8414,1.0,"yep, it is. no shame, these lads....","yep, it is. no shame, these lads....",similarity_full_text,1.0,
142,12828,1.0,prayers for turkey 😢 🇹🇷...,prayers for turkey 😢 🇹🇷...,similarity_full_text,1.0,
143,1914,,"🚨 the tennessee national guard is nowhere to be found in eastern tn, despite massive flooding and mi...","🚨 the tennessee national guard is nowhere to be found in eastern tn, despite massive flooding and mi...",fuzzy_full_text,1.0,100.0
144,7510,1.0000000000000002,trump praised putin for planning to invade ukraine and undermined nato publicly and yet we keep gett...,trump praised putin for planning to invade ukraine and undermined nato publicly and yet we keep gett...,similarity_full_text,1.0000000000000002,
145,5778,1.0,"on saba saba day 1990, i was a prospective university of nairobi student but as a young activist who...","on saba saba day 1990, i was a prospective university of nairobi student but as a young activist who...",similarity_full_text,1.0,
146,13870,1.0000000000000002,tesla will need to fix almost every car it’s ever sold in china due to an issue with the vehicles’ a...,tesla will need to fix almost every car it’s ever sold in china due to an issue with the vehicles’ a...,similarity_full_text,1.0000000000000002,
147,3755,1.0000000000000002,i’ll wait to pass judgement but grant wahl was reporting on the ugly side of the world cup in qatar ...,i’ll wait to pass judgement but grant wahl was reporting on the ugly side of the world cup in qatar ...,similarity_full_text,1.0000000000000002,
148,11610,1.0,children of gaza...,children of gaza...,similarity_full_text,1.0,
150,16199,1.0000000000000002,the first trailer for barry jenkins’ live-action lion king prequel ‘mufasa: the lion king’. in theat...,the first trailer for barry jenkins’ live-action lion king prequel ‘mufasa: the lion king’. in theat...,similarity_full_text,1.0000000000000002,
151,14479,1.0,i just confirmed with the ala. secretary of state's office that the alabama democratic party hasn't ...,i just confirmed with the ala. secretary of state's office that the alabama democratic party hasn't ...,similarity_full_text,1.0,
152,1217,1.0000000000000004,🚨the american red cross is now asking blood donors if they ever received the covid vaccine if you an...,🚨the american red cross is now asking blood donors if they ever received the covid vaccine if you an...,similarity_full_text,1.0000000000000004,
153,2579,1.0000000000000002,"pgmol, it’s been 12 hours! ⏳...","pgmol, it’s been 12 hours! ⏳...",similarity_full_text,1.0000000000000002,
154,3217,1.0000000000000002,unpopular takes: • “catching a cold” is not real • “sickness” doesn’t come from germs • you can thin...,unpopular takes: • “catching a cold” is not real • “sickness” doesn’t come from germs • you can thin...,similarity_full_text,1.0000000000000002,
155,15236,1.0,"📸 - inter miami player had damage to his head but the referee decided not to stop the game, an unbel...","📸 - inter miami player had damage to his head but the referee decided not to stop the game, an unbel...",similarity_full_text,1.0,
156,4942,1.0,"""venera 7"" a soviet spacecraft landed on venus in 1970. capturing this mind-blowing first ever image...","""venera 7"" a soviet spacecraft landed on venus in 1970. capturing this mind-blowing first ever image...",similarity_full_text,1.0,
157,8929,1.0,imagine their desperation. people in india can't afford the ticket to travel in trains and they are ...,imagine their desperation. people in india can't afford the ticket to travel in trains and they are ...,similarity_full_text,1.0,
158,6802,1.0,say hi so i know if you’re active on x 🤭...,say hi so i know if you’re active on x 🤭...,similarity_full_text,1.0,
159,14237,1.0,africa is a very beautiful continent....,africa is a very beautiful continent....,similarity_full_text,1.0,
160,5479,1.0,"esta foto fue tomada en el garaje de una casa en filipinas en el 2020, se trata de un murciélago zor...","esta foto fue tomada en el garaje de una casa en filipinas en el 2020, se trata de un murciélago zor...",similarity_full_text,1.0,
161,7828,1.0000000000000002,60% of kenyans support bill to extend presidential term limits: cherargei claims...,60% of kenyans support bill to extend presidential term limits: cherargei claims...,similarity_full_text,1.0000000000000002,
162,11524,1.0,making the order glbt+ from lgbt+ is insane considering the fact that the l is first as a reminder t...,making the order glbt+ from lgbt+ is insane considering the fact that the l is first as a reminder t...,similarity_full_text,1.0,
163,3704,1.0,flowers are now staring to bloom in antarctica and experts say this is not good news. this would be ...,flowers are now staring to bloom in antarctica and experts say this is not good news. this would be ...,similarity_full_text,1.0,
164,4450,1.0,🗣️ r is never okay!...,okay. you first....,similarity_full_text,1.0,
165,322,1.0000000000000002,now for some light-hearted fun. what’s the one “conspiracy theory” that no matter what anyone says y...,now for some light-hearted fun. what’s the one “conspiracy theory” that no matter what anyone says y...,similarity_full_text,1.0000000000000002,
166,15738,1.0000000000000002,breeking: charlie kirk show listeners have attacked another target attn...,breeking: charlie kirk show listeners have attacked another target attn...,similarity_full_text,1.0000000000000002,
